,player_name,position,team_display,opponent,prop_type,sportsbook,line,price,model_prediction,sigma,p_win_pct,edge_pct,roi_pct,kelly_pct,stake,recommendation
0,Caleb Williams,QB,CHI,CIN,Rushing Yards,BetMGM,22.5,-110,137.6392823038483,41.29178469115448,99,47.35422727484605,90.40352479743339,2,20,BET
1,Patrick Mahomes,QB,KC,JAX,Rushing Yards,BetOnline.ag,22.5,-114,122.92237005247026,36.87671101574107,99,46.4056997585383,87.11245393269469,2,20,BET
2,Patrick Mahomes,QB,KC,JAX,Rushing Yards,DraftKings,22.5,-114,122.92237005247026,36.87671101574107,99,46.4056997585383,87.11245393269469,2,20,BET
3,Patrick Mahomes,QB,KC,JAX,Rushing Yards,FanDuel,22.5,-114,122.92237005247026,36.87671101574107,99,46.4056997585383,87.11245393269469,2,20,BET
4,Patrick Mahomes,QB,KC,JAX,Rushing Yards,BetRivers,23.5,-114,122.92237005247026,36.87671101574107,99,46.37816238059052,87.06076096005589,2,20,BET
5,Lamar Jackson,QB,BAL,ATL,Rushing Yards,DraftKings,34.5,-111,111.27877873409446,33.38363362022834,98.92728530584559,46.32065023475553,88.05096576156232,2,20,BET
6,Patrick Mahomes,QB,KC,JAX,Rushing Yards,Bovada,22.5,-115,122.92237005247026,36.87671101574107,99,46.18835570289821,86.35214327063578,2,20,BET
7,Lamar Jackson,QB,BAL,ATL,Rushing Yards,BetRivers,35.5,-112,111.27877873409446,33.38363362022834,98.83943276373614,46.00924408449085,87.08892630278623,2,20,BET
8,Lamar Jackson,QB,BAL,ATL,Rushing Yards,BetOnline.ag,34.5,-114,111.27877873409446,33.38363362022834,98.92728530584559,45.65625726846241,85.70560574956978,2,20,BET
9,Lamar Jackson,QB,BAL,ATL,Rushing Yards,FanDuel,34.5,-114,111.27877873409446,33.38363362022834,98.92728530584559,45.65625726846241,85.70560574956978,2,20,BET
10,Patrick Mahomes,QB,KC,JAX,Rushing Yards,BetMGM,25.5,-118,122.92237005247026,36.87671101574107,99,45.459274633234,83.98408364444924,2,20,BET
11,Lamar Jackson,QB,BAL,ATL,Rushing Yards,Bovada,34.5,-115,111.27877873409446,33.38363362022834,98.92728530584559,45.43891321282232,84.95101165875477,2,20,BET
12,Chuba Hubbard,RB,CAR,BUF,Receiving Yards,SimBook,30,-110,107.74197128545302,42.65000848486248,96.58323316311343,44.202280782161054,84.38617240230748,2,20,BET
13,Jonathan Brooks,RB,CAR,BUF,Receiving Yards,SimBook,30,-110,107.74197128545302,42.65000848486248,96.58323316311343,44.202280782161054,84.38617240230748,2,20,BET
14,Kenny Britt,FLEX,BUF,CAR,Receiving Yards,SimBook,30,-110,107.60808636061978,42.65000848486248,96.55938360984435,44.17843122889197,84.34064143697559,2,20,BET
15,Stefon Diggs,WR,BUF,CAR,Receiving Yards,SimBook,30,-110,107.60808636061978,42.65000848486248,96.55938360984435,44.17843122889197,84.34064143697559,2,20,BET
16,Brock Purdy,TE,NYJ,PHI,Receiving Yards,SimBook,30,-110,107.21616713102169,42.65000848486248,96.48878185262777,44.10782947167539,84.20585626410757,2,20,BET
17,Dalvin Cook,RB,NYJ,PHI,Receiving Yards,SimBook,30,-110,107.21616713102169,42.65000848486248,96.48878185262777,44.10782947167539,84.20585626410757,2,20,BET
18,Dalwin Cook,RB,NYJ,PHI,Receiving Yards,SimBook,30,-110,107.21616713102169,42.65000848486248,96.48878185262777,44.10782947167539,84.20585626410757,2,20,BET
19,Davante Adams,WR,NYJ,PHI,Receiving Yards,SimBook,30,-110,107.21616713102169,42.65000848486248,96.48878185262777,44.10782947167539,84.20585626410757,2,20,BET
20,James Conner,RB,NYJ,PHI,Receiving Yards,SimBook,30,-110,107.21616713102169,42.65000848486248,96.48878185262777,44.10782947167539,84.20585626410757,2,20,BET
21,Marvin Harrison Jr,WR,ARI,WAS,Receiving Yards,SimBook,30,-110,106.75955906527008,42.65000848486248,96.4050320951825,44.024079714230126,84.04597036353026,2,20,BET
22,Brandon Aiyuk,WR,PHI,NYJ,Receiving Yards,SimBook,30,-110,106.61368496927219,42.65000848486248,96.37793390948302,43.99698152853063,83.99423746355849,2,20,BET
23,Chigoz Parrish,TE,PHI,NYJ,Receiving Yards,SimBook,30,-110,106.61368496927219,42.65000848486248,96.37793390948302,43.99698152853063,83.99423746355849,2,20,BET
24,Dalvin Caldwell,TE,PHI,NYJ,Receiving Yards,SimBook,30,-110,106.61368496927219,42.65000848486248,96.37793390948302,43.99698152853063,83.99423746355849,2,20,BET
25,DeVonta Smith,TE,PHI,NYJ,Receiving Yards,SimBook,30,-110,106.61368496927219,42.65000848486248,96.37793390948302,43.99698152853063,83.99423746355849,2,20,BET
26,Isaiah Pacheco,TE,PHI,NYJ,Receiving Yards,SimBook,30,-110,106.61368496927219,42.65000848486248,96.37793390948302,43.99698152853063,83.99423746355849,2,20,BET
27,Jaylen Waddle,FLEX,PHI,NYJ,Receiving Yards,SimBook,30,-110,106.61368496927219,42.65000848486248,96.37793390948302,43.99698152853063,83.99423746355849,2,20,BET
28,J.K. Dobbins,FLEX,PHI,NYJ,Receiving Yards,SimBook,30,-110,106.61368496927219,42.65000848486248,96.37793390948302,43.99698152853063,83.99423746355849,2,20,BET
29,Joe Mixon,RB,PHI,NYJ,Receiving Yards,SimBook,30,-110,106.61368496927219,42.65000848486248,96.37793390948302,43.99698152853063,83.99423746355849,2,20,BET
30,Kenneth Gainwell,RB,PHI,NYJ,Receiving Yards,SimBook,30,-110,106.61368496927219,42.65000848486248,96.37793390948302,43.99698152853063,83.99423746355849,2,20,BET
