name,position,team,age_2024,2023_rush_yds,2023_rec_yds,2024_proj_rush,2024_proj_rec,2024_proj_total,rush_change,rec_change
Hunter Renfrow,WR,LVR,29,0,255,0,304,304,0,49
Josh Reynolds,WR,DET,29,0,608,0,497,497,0,-111
Giovanni Ricci,TE,CAR,28,0,2,0,7,7,0,5
Allen Robinson,WR,PIT,31,0,280,0,414,414,0,134
Amari Rodgers,WR,IND,25,0,0,0,0,0,0,0
Justyn Ross,WR,KAN,25,0,53,0,59,59,0,6
Jeremy Ruckert,TE,NYJ,24,0,151,0,172,172,0,21
Drew Sample,TE,CIN,28,0,163,0,217,217,0,54
Eric Saubert,TE,HOU,30,0,12,0,31,31,0,19
Luke Schoonmaker,TE,DAL,26,0,65,0,79,79,0,14
Dalton Schultz,TE,HOU,28,0,635,0,603,603,0,-32
Trent Sherfield,WR,BUF,28,0,86,0,101,101,0,15
Ben Sims,TE,GNB,24,0,21,0,30,30,0,9
Darius Slayton,WR,NYG,27,0,770,0,572,572,0,-198
Stone Smartt,TE,LAC,26,0,155,0,103,103,0,-52
DeVonta Smith,WR,PHI,26,0,1066,0,971,971,0,-95
Irv Smith Jr.,TE,CIN,26,0,115,0,188,188,0,73
Jaxon Smith-Njigba,WR,SEA,22,0,628,0,770,770,0,142
JuJu Smith-Schuster,WR,NWE,28,0,260,0,406,406,0,146
Durham Smythe,TE,MIA,29,0,366,0,377,377,0,11
Willie Snead,WR,SFO,32,0,14,0,17,17,0,3
Equanimeous St. Brown,WR,CHI,28,0,62,0,67,67,0,5
Jack Stoll,TE,PHI,26,0,38,0,48,48,0,10
Mike Strachan,WR,CAR,27,0,45,0,9,9,0,-36
Brenton Strange,TE,JAX,24,0,35,0,50,50,0,15
Stephen Sullivan,TE,CAR,28,0,125,0,118,118,0,-7
Courtland Sutton,WR,DEN,29,0,772,0,713,713,0,-59
Geoff Swaim,TE,ARI,31,0,94,0,98,98,0,4
Malik Taylor,WR,NYJ,29,0,13,0,14,14,0,1
Ian Thomas,TE,CAR,28,0,56,0,58,58,0,2
Michael Thomas,WR,NOR,31,0,448,0,457,457,0,9
Cody Thompson,WR,SEA,28,0,10,0,9,9,0,-1
Jalen Tolbert,WR,DAL,25,0,268,0,282,282,0,14
Robert Tonyan,TE,CHI,30,0,112,0,94,94,0,-18
Samori Toure,WR,GNB,26,0,78,0,107,107,0,29
Austin Trammell,WR,LAR,26,0,29,0,37,37,0,8
Adam Trautman,TE,DEN,27,0,204,0,216,216,0,12
Laquon Treadwell,WR,BAL,29,0,16,0,10,10,0,-6
Tommy Tremble,TE,CAR,24,0,194,0,222,222,0,28
Cole Turner,TE,WAS,24,0,120,0,116,116,0,-4
C.J. Uzomah,TE,NYJ,31,0,58,0,96,96,0,38
Marquez Valdes-Scantling,WR,KAN,30,0,315,0,276,276,0,-39
Nick Vannett,TE,LAC,31,0,3,0,8,8,0,5
Tylan Wallace,WR,BAL,25,0,11,0,11,11,0,0
Darren Waller,TE,NYG,32,0,552,0,525,525,0,-27
Darnell Washington,TE,PIT,23,0,61,0,75,75,0,14
Parker Washington,WR,JAX,22,0,132,0,186,186,0,54
Quez Watkins,WR,PHI,26,0,142,0,228,228,0,86
Justin Watson,WR,KAN,28,0,460,0,382,382,0,-78
David Wells,TE,TAM,29,0,-10,0,10,10,0,20
Trevon Wesco,TE,TEN,29,0,21,0,7,7,0,-14
Nick Westbrook-Ikhine,WR,TEN,27,0,370,0,407,407,0,37
Josh Whyle,TE,TEN,25,0,94,0,119,119,0,25
Mitchell Wilcox,TE,CIN,28,0,56,0,87,87,0,31
Rodney Williams,TE,PIT,26,0,0,0,0,0,0,0
Cedrick Wilson Jr.,WR,MIA,29,0,296,0,283,283,0,-13
Michael Wilson,WR,ARI,24,0,565,0,491,491,0,-74
Juwann Winfree,WR,IND,28,0,0,0,0,0,0,0
Charlie Woerner,TE,SFO,27,0,32,0,28,28,0,-4
Brock Wright,TE,DET,26,0,91,0,156,156,0,65
Kenny Yeboah,TE,NYJ,26,0,28,0,14,14,0,-14
Olamide Zaccheaus,WR,PHI,27,0,164,0,94,94,0,-70
